Send Date,Customer Data Sheet,Messages Sent, Send Type, Name Intro Used, Opt Out Used
2022-02-07 00:00:00+00:00,CustomerTest.csv,1,Account Number,False,False
2022-02-04 00:00:00+00:00,test.csv,2,Account Number,True,True

